student_id,gender,parental_education,internet_access,extracurricular,study_hours,attendance_pct,previous_exam_marks,assignment_marks,internal_marks,practice_test_score,sleep_hours,commute_minutes,final_exam_marks
S0068,Male,Bachelor,Yes,No,5.1,84.2,64.0,62.0,72.0,67.0,9.5,54.0,62.5
S0480,Male,Bachelor,Yes,No,5.5,100.0,95.0,92.0,91.0,82.0,6.6,6.0,80.6
S0329,Male,Bachelor,Yes,Yes,3.0,43.5,64.0,44.0,49.0,56.0,7.1,46.0,51.0
S0627,Male,High School,No,Yes,3.9,68.5,57.0,80.0,55.0,47.0,7.9,27.0,55.8
S0108,Male,Bachelor,Yes,No,2.5,83.4,60.0,55.0,71.0,80.0,6.5,18.0,63.1
S0984,Male,Bachelor,Yes,No,8.3,69.3,60.0,81.0,86.0,67.0,5.6,13.0,71.8
S0347,Female,Bachelor,Yes,No,1.9,78.6,58.0,56.0,50.0,62.0,5.4,28.0,51.9
S0299,Male,High School,No,No,2.9,59.2,35.0,49.0,40.0,67.0,5.6,53.0,39.0
S0644,Female,High School,Yes,No,7.6,81.6,75.0,92.0,61.0,53.0,7.4,42.0,69.7
S0308,Male,High School,Yes,No,,70.5,74.0,78.0,70.0,69.0,5.4,56.0,77.8
S0855,Male,High School,Yes,No,6.0,69.9,72.0,80.0,68.0,66.0,5.7,36.0,69.2
S0507,Male,Master,No,No,3.6,99.0,85.0,88.0,94.0,91.0,6.4,43.0,80.9
S0297,Male,PhD,Yes,No,3.1,76.6,66.0,87.0,61.0,76.0,6.9,29.0,65.5
S0881,Male,High School,Yes,No,3.1,92.1,79.0,,59.0,58.0,7.6,36.0,64.7
S0667,Female,PhD,No,No,8.3,64.3,49.0,55.0,60.0,44.0,8.4,31.0,57.2
S0101,Male,Bachelor,Yes,Yes,5.3,83.6,59.0,61.0,67.0,45.0,6.5,22.0,63.3
S0089,Female,High School,No,No,1.9,,71.0,58.0,71.0,63.0,8.3,49.0,60.5
S0064,Male,Master,No,No,6.1,90.0,72.0,63.0,65.0,52.0,7.7,42.0,65.6
S0844,Male,High School,Yes,No,3.6,78.4,57.0,81.0,61.0,59.0,6.9,17.0,63.1
S0889,Female,High School,Yes,Yes,3.5,76.3,38.0,60.0,25.0,43.0,9.9,48.0,46.5
S0140,Male,Master,Yes,No,7.1,100.0,89.0,61.0,79.0,97.0,8.3,29.0,88.0
S0758,Female,Bachelor,Yes,Yes,5.9,99.7,67.0,82.0,69.0,69.0,6.1,37.0,71.5
S0616,Male,Bachelor,Yes,Yes,5.8,81.5,56.0,33.0,61.0,60.0,7.0,27.0,67.5
S0500,Female,High School,,Yes,5.2,77.3,40.0,56.0,59.0,35.0,7.5,40.0,45.8
S0666,Male,High School,Yes,Yes,5.8,80.4,39.0,58.0,48.0,56.0,7.3,18.0,54.0
S0585,Female,High School,Yes,No,4.7,74.8,68.0,86.0,68.0,62.0,6.8,28.0,63.0
S0110,Male,High School,Yes,Yes,5.7,72.6,37.0,50.0,57.0,40.0,7.3,57.0,54.0
S0917,Female,Bachelor,Yes,No,9.0,85.1,77.0,81.0,76.0,71.0,6.6,37.0,79.9
S0651,Female,High School,Yes,No,5.2,69.4,91.0,71.0,77.0,77.0,7.9,20.0,73.0
S0534,Female,High School,Yes,No,4.1,99.4,80.0,87.0,83.0,65.0,8.9,18.0,75.9
S0446,Female,Master,Yes,Yes,5.7,68.1,44.0,57.0,54.0,39.0,6.4,7.0,51.2
S0606,Female,Master,Yes,Yes,6.9,80.0,74.0,72.0,57.0,57.0,7.0,27.0,64.3
S0137,Male,Bachelor,Yes,No,5.6,70.7,61.0,75.0,67.0,54.0,9.1,32.0,65.5
S0812,Male,Master,Yes,No,6.1,72.7,62.0,71.0,44.0,56.0,7.1,30.0,59.5
S0515,Male,High School,Yes,No,9.4,67.5,81.0,60.0,84.0,68.0,8.2,30.0,67.1
S0754,Female,High School,Yes,No,4.5,99.3,87.0,81.0,74.0,70.0,6.7,53.0,74.3
S0159,Male,Bachelor,No,No,3.7,68.6,60.0,87.0,42.0,62.0,7.1,90.0,60.7
S0311,Male,Bachelor,Yes,No,5.7,96.1,87.0,83.0,73.0,83.0,6.8,42.0,84.6
S0328,Male,,Yes,No,3.0,82.6,76.0,64.0,61.0,80.0,5.9,27.0,69.4
S0137,Male,Bachelor,Yes,No,5.6,70.7,61.0,75.0,67.0,54.0,9.1,32.0,65.5
S0936,Male,Bachelor,Yes,No,4.4,98.4,68.0,68.0,75.0,68.0,5.6,11.0,71.0
S0255,Female,High School,Yes,No,3.4,63.2,50.0,53.0,64.0,44.0,7.8,21.0,44.9
S0276,Male,High School,Yes,No,6.2,91.0,65.0,90.0,65.0,69.0,4.4,18.0,76.3
S0902,Male,Bachelor,Yes,No,5.7,78.3,63.0,93.0,66.0,61.0,8.1,33.0,72.2
S0185,Male,Master,Yes,No,8.7,78.6,73.0,66.0,65.0,83.0,7.8,32.0,78.5
S0583,Female,High School,,No,8.1,79.0,59.0,56.0,67.0,66.0,6.3,2.0,69.5
S0661,Female,Master,Yes,No,4.6,59.9,36.0,100.0,52.0,46.0,6.6,31.0,60.5
S0897,Male,Bachelor,Yes,No,2.8,72.7,55.0,68.0,61.0,53.0,6.4,59.0,51.7
S0210,Female,Bachelor,Yes,Yes,7.8,74.6,66.0,64.0,68.0,59.0,7.3,36.0,69.6
S0169,Male,Bachelor,Yes,No,8.7,76.2,72.0,78.0,60.0,45.0,7.7,29.0,83.4
S0867,Female,Master,No,No,3.8,,50.0,59.0,62.0,40.0,6.0,44.0,43.5
S0281,Female,Bachelor,Yes,Yes,4.3,54.2,67.0,83.0,63.0,74.0,6.4,8.0,60.2
S0900,Female,Bachelor,Yes,No,4.5,85.3,50.0,49.0,47.0,56.0,7.9,40.0,56.9
S0542,Female,PhD,Yes,No,6.3,74.1,49.0,62.0,57.0,53.0,8.2,36.0,62.4
S0056,Male,High School,Yes,No,7.9,94.0,58.0,71.0,58.0,48.0,7.1,13.0,70.8
S0121,Male,Bachelor,No,Yes,2.8,73.5,47.0,71.0,58.0,63.0,7.7,27.0,51.2
S0555,Female,Bachelor,No,Yes,,84.7,67.0,71.0,74.0,69.0,9.2,26.0,65.8
S0026,Female,PhD,Yes,No,3.5,61.5,62.0,83.0,67.0,55.0,8.1,21.0,57.3
S0073,Female,High School,Yes,Yes,5.9,68.7,61.0,64.0,45.0,70.0,6.7,18.0,63.7
S0539,Female,Master,Yes,Yes,3.8,81.8,49.0,72.0,36.0,50.0,9.3,32.0,50.4
S0045,Female,Master,No,Yes,6.1,71.0,60.0,77.0,52.0,61.0,6.6,26.0,61.8
S0498,Female,High School,Yes,No,7.7,83.6,56.0,48.0,59.0,59.0,7.0,24.0,69.5
S0199,Male,High School,Yes,No,2.9,97.2,60.0,,75.0,79.0,8.3,2.0,63.3
S0378,Female,Master,Yes,No,2.3,64.9,50.0,59.0,51.0,46.0,6.1,40.0,51.6
S0315,Male,Master,Yes,Yes,6.2,92.0,76.0,73.0,54.0,78.0,7.0,34.0,70.9
S0719,Male,Bachelor,Yes,No,2.1,89.8,65.0,74.0,63.0,63.0,6.4,24.0,67.0
S0209,Male,PhD,Yes,No,3.1,80.9,61.0,67.0,51.0,59.0,8.7,32.0,59.5
S0722,Male,Master,Yes,Yes,6.0,75.0,85.0,69.0,64.0,79.0,6.4,28.0,71.9
S0919,Female,Master,Yes,No,6.0,86.9,83.0,64.0,70.0,76.0,6.7,9.0,66.9
S0536,Female,Master,,Yes,4.7,76.0,81.0,72.0,66.0,72.0,6.7,40.0,74.9
S0696,Female,High School,Yes,No,5.3,83.1,54.0,78.0,53.0,50.0,6.0,56.0,59.0
S0605,Female,Master,Yes,No,1.5,71.1,50.0,50.0,73.0,42.0,8.7,54.0,61.8
S0591,Male,Bachelor,Yes,Yes,6.2,58.5,61.0,48.0,56.0,55.0,7.0,30.0,62.2
S0291,Female,High School,Yes,No,3.0,85.9,70.0,70.0,80.0,52.0,8.4,24.0,59.8
S0960,Female,Master,Yes,Yes,8.5,81.4,60.0,69.0,65.0,74.0,7.2,2.0,74.3
S0333,Female,High School,Yes,Yes,7.7,93.9,68.0,71.0,53.0,66.0,5.4,15.0,70.1
S0211,Female,Bachelor,Yes,No,4.5,67.8,72.0,84.0,85.0,67.0,8.5,59.0,66.1
S0343,Female,High School,Yes,No,6.4,90.4,64.0,81.0,53.0,67.0,7.0,21.0,73.6
S0061,Female,Bachelor,No,No,1.8,50.4,45.0,58.0,67.0,47.0,7.1,36.0,41.6
S0345,Male,Bachelor,Yes,Yes,7.7,90.9,89.0,,63.0,79.0,8.1,13.0,85.0
S0891,Female,Bachelor,Yes,Yes,1.3,73.6,49.0,,42.0,51.0,5.5,51.0,54.2
S0712,Female,High School,Yes,No,4.6,100.0,66.0,79.0,55.0,70.0,7.5,15.0,70.1
S0468,Male,PhD,Yes,No,7.2,93.6,77.0,79.0,79.0,93.0,7.0,47.0,83.0
S0424,Female,Master,Yes,Yes,3.3,65.0,47.0,57.0,68.0,53.0,5.4,20.0,55.0
S0260,Male,Master,No,No,,89.4,50.0,64.0,45.0,55.0,8.5,52.0,60.8
S0781,Male,High School,Yes,No,6.4,90.7,57.0,68.0,58.0,47.0,7.8,21.0,61.8
S0406,Male,High School,No,Yes,0.8,87.0,65.0,55.0,63.0,54.0,6.4,6.0,49.9
S0789,Female,High School,Yes,Yes,5.3,68.3,48.0,69.0,51.0,54.0,6.1,14.0,54.1
S0768,Female,Bachelor,Yes,No,3.4,70.5,52.0,56.0,77.0,57.0,6.5,31.0,58.8
S0484,Male,Bachelor,Yes,Yes,7.9,87.7,59.0,63.0,77.0,71.0,8.4,34.0,77.7
S0531,Female,PhD,Yes,No,6.0,65.6,73.0,52.0,64.0,56.0,6.8,9.0,64.3
S0811,Male,High School,Yes,No,3.4,78.7,56.0,59.0,67.0,58.0,5.3,50.0,50.4
S1000,Male,,Yes,No,2.6,76.0,68.0,76.0,64.0,79.0,4.8,17.0,54.1
S0967,Female,Bachelor,Yes,No,7.1,67.3,69.0,73.0,54.0,63.0,6.4,23.0,67.4
S0111,Female,Bachelor,No,No,5.9,85.5,74.0,69.0,61.0,60.0,,45.0,68.6
S0996,Female,Bachelor,Yes,No,3.9,90.4,72.0,73.0,61.0,58.0,5.9,14.0,62.3
S0559,Female,High School,,Yes,5.7,69.3,44.0,59.0,45.0,63.0,5.8,25.0,50.6
S0794,Female,Bachelor,Yes,No,7.3,82.2,63.0,81.0,65.0,63.0,9.6,28.0,78.4
S0937,Female,Master,Yes,Yes,7.7,65.2,57.0,58.0,65.0,51.0,6.9,25.0,65.7
S0920,Male,Bachelor,No,No,2.4,74.0,56.0,61.0,62.0,38.0,6.7,12.0,53.1
S0943,Male,High School,No,Yes,4.1,83.6,64.0,87.0,69.0,61.0,8.3,21.0,66.7
S0320,Female,Master,Yes,No,5.8,77.6,58.0,56.0,40.0,49.0,6.6,30.0,55.9
S0517,Male,High School,Yes,No,6.2,75.3,77.0,74.0,66.0,65.0,6.9,30.0,70.9
S0450,Female,Bachelor,Yes,Yes,4.2,92.1,57.0,67.0,63.0,84.0,6.4,27.0,65.1
S0784,Male,Bachelor,Yes,No,6.8,91.3,67.0,62.0,60.0,73.0,,18.0,76.1
S0594,Male,High School,Yes,No,2.8,,49.0,51.0,60.0,58.0,8.0,37.0,50.2
S0910,Male,Bachelor,No,Yes,4.5,72.4,46.0,75.0,46.0,60.0,5.9,19.0,51.2
S0744,Female,Master,Yes,Yes,7.6,86.1,57.0,64.0,68.0,55.0,5.2,14.0,76.1
S0138,Female,Master,Yes,Yes,7.0,83.1,71.0,88.0,63.0,75.0,5.6,33.0,75.4
S0800,Male,Bachelor,Yes,No,6.8,80.3,63.0,75.0,68.0,75.0,6.0,24.0,70.5
S0934,Female,Bachelor,Yes,No,6.9,83.5,81.0,82.0,61.0,66.0,5.2,32.0,68.3
S0823,Male,Bachelor,Yes,Yes,7.0,69.0,53.0,76.0,60.0,61.0,8.4,35.0,68.0
S0766,Female,PhD,No,No,3.7,78.7,43.0,61.0,39.0,54.0,6.9,38.0,44.0
S0262,Female,Bachelor,Yes,No,5.3,76.2,54.0,57.0,61.0,65.0,7.9,47.0,57.8
S0568,Female,Master,No,No,4.6,78.6,59.0,70.0,70.0,66.0,6.7,16.0,61.7
S0833,Female,Bachelor,,No,5.2,68.5,51.0,65.0,44.0,39.0,8.4,28.0,54.9
S0382,Female,,Yes,No,6.0,91.7,78.0,68.0,78.0,59.0,6.8,35.0,70.8
S0334,Female,Bachelor,No,No,6.6,71.8,52.0,78.0,67.0,61.0,7.7,20.0,61.1
S0537,Female,,No,No,2.4,76.5,51.0,73.0,57.0,55.0,5.8,40.0,52.6
S0352,Female,High School,Yes,No,4.0,73.6,65.0,,72.0,72.0,8.7,40.0,75.5
S0786,Male,High School,Yes,No,3.6,81.2,57.0,60.0,55.0,64.0,9.1,23.0,63.6
S0452,Male,High School,Yes,Yes,4.0,81.3,74.0,73.0,59.0,59.0,7.9,47.0,61.2
S0079,Female,Bachelor,Yes,No,6.7,87.0,74.0,66.0,66.0,78.0,8.0,41.0,75.4
S0030,Male,Master,Yes,No,6.1,87.2,78.0,76.0,63.0,70.0,7.6,12.0,73.0
S0713,Female,Bachelor,Yes,Yes,6.3,74.4,61.0,74.0,59.0,49.0,9.0,42.0,65.0
S0278,Female,Bachelor,Yes,No,2.5,75.9,59.0,58.0,51.0,46.0,7.7,38.0,63.4
S0248,Male,High School,Yes,No,,91.3,87.0,77.0,68.0,66.0,8.2,17.0,68.5
S0658,Male,Bachelor,Yes,No,2.3,97.2,73.0,76.0,52.0,48.0,8.5,11.0,55.3
S0307,Female,Bachelor,,No,6.5,84.3,69.0,64.0,73.0,55.0,5.2,46.0,64.5
S0166,Female,Master,Yes,No,3.6,73.8,54.0,64.0,57.0,68.0,7.4,12.0,58.3
S0817,Female,Master,Yes,Yes,6.8,73.5,64.0,56.0,60.0,58.0,5.5,44.0,63.3
S0179,Male,Master,Yes,No,4.0,83.6,59.0,69.0,55.0,59.0,6.9,40.0,61.8
S0486,Male,Bachelor,,Yes,1.4,79.7,62.0,62.0,67.0,46.0,6.8,24.0,53.4
S0066,Female,Master,Yes,Yes,4.7,78.6,73.0,72.0,78.0,67.0,6.6,29.0,68.7
S0142,Female,Bachelor,Yes,Yes,4.8,61.0,66.0,58.0,40.0,51.0,6.6,15.0,57.1
S0437,Male,PhD,Yes,Yes,3.9,89.3,61.0,59.0,67.0,69.0,3.5,26.0,64.6
S0523,Female,Bachelor,Yes,No,2.4,90.5,83.0,81.0,82.0,83.0,8.4,27.0,76.0
S0845,Male,Bachelor,No,Yes,1.4,79.6,62.0,68.0,74.0,76.0,8.7,33.0,59.7
S0421,Male,PhD,Yes,No,4.7,90.1,79.0,83.0,68.0,60.0,9.9,20.0,79.6
S0405,Male,High School,Yes,Yes,3.9,64.8,70.0,61.0,55.0,54.0,6.7,28.0,58.0
S0680,Female,Master,Yes,No,4.5,76.7,56.0,68.0,67.0,81.0,8.1,49.0,62.9
S0266,Female,Bachelor,No,Yes,7.2,87.3,73.0,70.0,81.0,67.0,7.6,40.0,72.4
S0880,Female,,Yes,Yes,3.0,85.0,59.0,57.0,64.0,60.0,7.5,48.0,62.6
S0293,Female,Bachelor,Yes,Yes,,100.0,70.0,58.0,73.0,83.0,5.8,15.0,76.0
S0222,Male,High School,No,Yes,6.0,88.2,62.0,71.0,66.0,71.0,6.6,24.0,65.4
S0828,Female,Bachelor,Yes,No,1.9,69.4,74.0,71.0,50.0,68.0,6.7,58.0,63.1
S0236,Male,Bachelor,Yes,No,7.1,,56.0,65.0,57.0,49.0,6.1,31.0,60.1
S0526,Male,PhD,Yes,No,4.8,69.6,58.0,66.0,44.0,64.0,7.1,32.0,64.6
S0193,Male,Master,Yes,Yes,6.4,62.9,64.0,71.0,67.0,63.0,8.1,49.0,61.8
S0322,Male,High School,Yes,No,5.9,89.1,58.0,49.0,78.0,67.0,6.9,33.0,65.2
S0050,Female,Bachelor,,No,5.5,86.4,64.0,80.0,63.0,60.0,7.3,44.0,68.9
S0892,Male,High School,Yes,Yes,3.2,78.1,70.0,48.0,48.0,64.0,7.3,30.0,59.5
S0003,Male,Bachelor,Yes,No,6.4,92.9,83.0,82.0,69.0,60.0,6.2,47.0,69.6
S0818,Male,High School,Yes,No,5.8,97.5,74.0,85.0,76.0,52.0,7.1,21.0,71.3
S0371,Male,Bachelor,Yes,No,6.1,67.5,72.0,80.0,71.0,50.0,6.3,14.0,71.6
S0922,Female,Bachelor,No,Yes,6.3,94.3,41.0,73.0,54.0,39.0,5.9,11.0,52.1
S0250,Female,High School,Yes,No,7.3,69.4,57.0,60.0,56.0,50.0,6.6,33.0,66.0
S0549,Female,High School,Yes,Yes,4.1,70.9,61.0,79.0,65.0,59.0,7.0,3.0,56.8
S0433,Female,Master,Yes,Yes,5.9,83.7,64.0,66.0,54.0,65.0,8.4,43.0,62.8
S0939,Female,Bachelor,Yes,Yes,9.3,99.2,79.0,66.0,82.0,70.0,5.6,41.0,74.2
S0508,Male,Bachelor,Yes,Yes,6.7,84.4,68.0,79.0,78.0,64.0,7.6,33.0,77.9
S0034,Male,Bachelor,Yes,No,6.3,67.2,57.0,66.0,63.0,42.0,10.0,3.0,65.3
S0205,Male,Master,Yes,Yes,1.0,48.6,43.0,57.0,49.0,44.0,6.1,43.0,39.9
